episode,timestep,reward
9,1000,-112.7352
22,2000,-110.6241
33,3000,-110.8817
40,4000,-96.8027
47,5000,-99.1842
54,6000,-116.0677
60,7000,-83.1976
68,8000,-102.9503
70,9000,-63.4585
77,10000,-93.0143
85,11000,-98.2854
91,12000,-92.8809
96,13000,-96.9844
98,14000,-72.8218
101,15000,-47.7087
106,16000,-90.059
108,17000,-18.3572
110,18000,-13.5298
112,19000,-17.8883
114,20000,-18.7351
116,21000,-14.3311
120,22000,-63.2935
122,23000,-58.4717
125,24000,-49.6841
128,25000,-43.0093
132,26000,-59.969
134,27000,-8.7536
138,28000,-65.5181
144,29000,-97.5915
146,30000,-3.5446
148,31000,-107.6629
150,32000,-63.8731
154,33000,-66.3592
158,34000,-63.951
160,35000,-106.5136
162,36000,-22.3265
164,37000,-17.3848
166,38000,-19.6748
169,39000,-49.5495
171,40000,-60.1052
173,41000,-9.9149
175,42000,-10.286
179,43000,-89.9956
181,44000,-10.2261
183,45000,-15.3545
186,46000,-42.0164
188,47000,-59.7444
191,48000,-76.5318
194,49000,-110.463
197,50000,-73.4917
199,51000,-64.512
201,52000,-8.5723
204,53000,-48.4744
206,54000,-59.5748
208,55000,-14.2325
210,56000,-15.4137
213,57000,-43.1306
215,58000,-62.8023
217,59000,-9.9347
219,60000,-11.0664
221,61000,-17.1782
223,62000,-10.8003
226,63000,-43.861
228,64000,-9.4861
230,65000,-54.3751
234,66000,-58.4139
237,67000,-43.8311
239,68000,-6.6067
241,69000,-56.1164
243,70000,-7.6153
245,71000,-7.4642
247,72000,-8.4561
249,73000,-8.9942
251,74000,-61.9109
253,75000,-8.0169
255,76000,-11.7092
258,77000,-71.8002
260,78000,-11.0487
262,79000,-6.7984
264,80000,-7.0583
266,81000,-5.958
268,82000,-50.9405
271,83000,-40.0326
273,84000,-53.8775
275,85000,-6.2537
277,86000,-51.8004
279,87000,-10.5723
281,88000,-7.8489
284,89000,-44.9748
286,90000,-6.9376
288,91000,-5.8979
290,92000,-54.7734
292,93000,-9.0241
294,94000,-58.7277
296,95000,-6.7475
299,96000,-42.0643
301,97000,-58.831
303,98000,-8.545
305,99000,-1.2287
307,100000,-8.4686
309,101000,-8.0763
311,102000,0.1181
313,103000,-4.6347
316,104000,-36.1416
318,105000,-1.5701
320,106000,-52.7838
323,107000,-39.3689
325,108000,-0.5511
328,109000,-39.4783
330,110000,-3.3542
332,111000,-53.2364
334,112000,1.7489
336,113000,0.0574
339,114000,-70.8486
341,115000,-2.848
343,116000,0.4484
346,117000,-65.5232
348,118000,-53.3805
351,119000,-71.2803
353,120000,-54.4935
356,121000,-71.258
358,122000,1.527
360,123000,0.1168
362,124000,1.564
364,125000,2.5725
366,126000,-2.7052
368,127000,-58.394
371,128000,-63.4013
373,129000,2.7723
375,130000,3.1364
377,131000,-101.1903
380,132000,-28.8101
382,133000,8.4418
384,134000,-45.877
386,135000,-43.2817
388,136000,2.1904
391,137000,-28.1703
393,138000,-43.5546
395,139000,-44.2236
398,140000,-29.6185
400,141000,-43.4111
403,142000,-64.9372
405,143000,1.1776
407,144000,-1.0779
409,145000,3.3199
411,146000,-46.0647
413,147000,4.7776
415,148000,9.7055
417,149000,-47.0295
420,150000,-65.2897
422,151000,5.0244
