episode,time_steps,ep_reward
1,500,-19.774190142366137
2,614,-107.25107992482152
3,1042,-18.982529569467854
4,1542,-26.521407392703388
5,2042,-29.51065609147074
6,2542,-29.52612821149188
7,3042,-20.482391552766547
8,3130,-125.20767619939694
9,3630,-30.165191121390873
10,4130,-30.27773672007835
11,4233,-106.79783800696254
12,4733,-20.526623421821196
13,5233,-29.120700466657517
14,5733,-26.766745256292346
15,5842,-107.71047362441702
16,5921,-107.4653471388924
17,6421,-25.340978472273076
18,6921,-25.6481513885405
19,7421,-24.46593539121671
20,7921,-28.066665739678044
21,8421,-26.104328692512897
22,8921,-26.27788682265605
23,9421,-27.135150766532913
24,9921,-26.10116032512049
25,10421,-29.22536586431
26,10488,-107.24520757709118
27,10988,-27.71198485876933
28,11047,-112.96671259704115
29,11547,-21.18559840841621
30,12047,-27.443486160282454
31,12547,-25.5657803814906
32,13047,-22.125368183451684
33,13547,-22.627842899581086
34,13637,-117.55051105704807
35,14137,-34.67003278362051
36,14206,-113.97063306709649
37,14706,-22.95953350518986
38,14769,-123.97299260643715
39,15269,-25.8668775370202
40,15404,-116.96532734350325
41,15904,-21.110778837595053
42,16012,-101.56590913206199
43,16081,-108.30713277403426
44,16581,-28.919278853545144
45,17081,-21.18882859948242
46,17155,-119.3547484293233
47,17655,-29.818946092561767
48,18155,-23.24191307039507
49,18655,-23.569671549278567
50,19155,-33.853284663603056
51,19655,-24.63909873704586
52,19700,-110.07688579337699
53,20200,-28.30858050126669
54,20700,-24.49081208565241
55,21200,-18.35469446678361
56,21700,-23.81189000397927
57,22200,-31.136325262482465
58,22291,-119.60193391766245
59,22791,-25.819880268966486
60,23291,-21.12216601699453
61,23791,-18.23011387444696
62,24291,-19.563761439375273
63,24791,-25.066886218350184
64,25291,-30.47042449745226
65,25791,-25.435365861848496
66,26291,-21.483448200005633
67,26350,-117.56261491032811
68,26850,-28.632321047621218
69,27350,-31.058046551882185
70,27850,-25.226062432426158
71,28350,-24.454560944467413
72,28850,-20.59409485374363
73,29350,-19.016959209175695
74,29423,-115.39862130606701
75,29923,-28.433040336222163
76,30423,-23.275023092487032
77,30923,-35.32435141522918
78,31423,-21.66190204028019
79,31923,-22.979145857646202
80,32423,-20.76896739742878
81,32923,-24.83377404360362
82,33423,-25.62046774625397
83,33495,-106.44378006505069
84,33995,-26.805772995274385
85,34495,-30.851205760065472
86,34995,-31.68400631870079
87,35103,-104.85654829237846
88,35603,-21.245509471254817
89,36103,-16.213497775190934
90,36603,-24.27887019033567
91,36679,-124.37827242830338
92,37179,-22.14224896942432
93,37679,-19.638456184959892
94,38179,-23.977670637511107
95,38237,-113.12069819251606
96,38737,-19.34365306705588
97,39237,-25.204015030748458
98,39737,-20.667259426918946
99,40237,-23.974176770999705
100,40737,-24.58401439906261
101,41237,-18.77504729227847
102,41737,-28.194429964155344
103,42237,-23.42887286981543
104,42737,-29.249756911217258
105,43237,-23.986840114135486
106,43737,-19.384308577025394
107,44237,-19.07927995556459
108,44737,-20.447951633230122
109,44845,-105.4502007619896
110,44906,-113.51890564607768
111,44980,-121.39898856237608
112,45480,-19.023927116873935
113,45531,-106.34054153527843
114,46031,-26.95043282501333
115,46531,-21.392365574246977
116,47031,-23.36657171244009
117,47531,-27.98381873138859
118,48031,-19.006368791385217
119,48126,-104.92497411040235
120,48626,-17.9781762452937
121,48732,-122.03588679595566
122,49232,-29.122946401452975
123,49732,-31.633856712938204
124,50232,-21.761411451001553
125,50328,-103.90120226121591
126,50828,-23.441315870313918
127,51328,-23.488617509011014
128,51828,-22.949272761940524
129,52328,-17.816024167286425
130,52420,-116.61135989430514
131,52920,-16.218030830311825
132,53420,-20.42185980386596
133,53920,-23.46529054348065
134,54420,-15.681820994452325
135,54920,-25.200857702964214
136,55420,-22.698369637013695
137,55485,-107.09280372800187
138,55985,-35.96533738074325
139,56485,-27.891218820783653
140,56569,-120.58290329273731
141,57069,-26.397182154985458
142,57569,-21.913817919556323
143,58069,-25.57553888063361
144,58569,-25.098256027782842
145,59069,-22.93964244295932
146,59569,-16.89887748657167
147,60069,-18.63838665307449
148,60123,-107.19723190757854
149,60623,-26.731278508409396
150,61123,-21.158923725808354
151,61623,-29.2140215429274
152,62123,-19.646234993534012
153,62623,-21.287159470558155
154,63123,-23.516300350584114
155,63623,-25.2620441645942
156,64123,-25.059995304593823
157,64623,-28.69554326901488
158,65123,-22.93352495955028
159,65623,-19.950601294403526
160,66123,-22.45183904027422
161,66204,-117.02740882506474
162,66274,-116.06997823479624
163,66346,-104.45426690634032
164,66846,-28.632991678851496
165,67346,-24.67739007440586
166,67846,-28.562482533445575
167,68346,-15.314289614385551
168,68846,-17.64161813312213
169,69346,-21.440335531995654
170,69846,-23.05012138195925
171,70346,-22.94896176550969
172,70846,-15.506913483822037
173,71346,-25.789568011459945
174,71846,-17.964407995787607
175,72346,-15.843505055363439
176,72846,-14.702301047113261
177,73346,-25.29551541674514
178,73437,-117.31849620357494
179,73937,-24.76949377634607
180,74437,-17.440227342791765
181,74505,-111.95592419726124
182,75005,-15.84267420608663
183,75505,-24.569991398574754
184,76005,-25.10479445088304
185,76116,-121.70377838355964
186,76206,-106.58314401162161
187,76271,-116.1088960736476
188,76771,-22.20163431137993
189,77271,-27.096704452920765
190,77325,-109.42919563529183
191,77825,-20.863045762681175
192,78325,-18.861609608684788
193,78825,-22.142085874904563
194,79325,-23.194968153828967
195,79825,-21.525192234522258
196,80325,-24.361091271857862
197,80825,-18.878254376992825
198,81325,-26.622579828643897
199,81825,-23.214462092145546
200,82325,-23.69854577480639
201,82825,-19.01638985647613
202,83325,-14.791604541351967
203,83825,-18.943180359993764
204,83922,-121.24603501681587
205,84422,-19.413182437148926
206,84481,-111.50957155298819
207,84574,-119.01424629058063
208,84625,-111.62038466182541
209,85125,-13.998417293234867
210,85248,-106.18344986536498
211,85748,-20.915147557205387
212,85824,-119.58568037056718
213,86324,-16.597747941213033
214,86824,-17.991604975932212
